1,1,52.95,63.1,122.83,56.6,1,1,1.0
1,2,0.0,15.62,17.23,25.510000000000005,1,1,1.0
1,3,99.4,0.0,221.20000000000002,61.0,1,1,1.0
1,4,312.6,0.95,395.0,111.55,1,1,1.0
2,1,34.7,59.95,121.55,55.349999999999994,1,1,1.0
2,2,0.0,16.57,10.6,25.509999999999998,1,1,1.0
2,3,99.3,0.0,221.12,60.94,1,1,1.0
2,4,313.54,0.95,393.56,111.25,1,1,1.0
3,1,20.2,56.8,112.7,56.0,1,1,1.0
3,2,0.0,16.57,5.9,25.509999999999998,1,1,1.0
3,3,99.21,0.0,221.04000000000002,60.88,1,1,1.0
3,4,314.49,0.95,392.11,110.95,1,1,1.0
4,1,4.8,53.65,108.60000000000001,54.77,1,1,1.0
4,3,99.11,0.0,220.95999999999998,60.82,1,1,1.0
4,4,315.43,0.95,390.67,113.45,1,1,1.0
5,1,0.0,50.5,95.13,53.510000000000005,1,1,1.0
5,3,99.02,0.0,220.88,60.76,1,1,1.0
5,4,314.31,0.95,391.63000000000005,113.45,1,1,1.0
6,1,0.0,47.35,76.87,52.26,1,1,1.0
6,3,98.92,0.0,220.8,60.7,1,1,1.0
6,4,313.18,0.95,392.60999999999996,113.45,1,1,1.0
7,1,0.0,44.2,58.6,51.0,1,1,1.0
7,3,98.82,0.0,220.73000000000002,60.64,1,1,1.0
7,4,312.05,0.95,393.58,113.45,1,1,1.0
8,1,0.0,43.3,41.6,51.900000000000006,1,1,1.0
8,3,98.73,0.0,220.64,60.59,1,1,1.0
8,4,310.93,0.95,394.55,113.45,1,1,1.0
9,1,0.0,43.3,25.5,51.900000000000006,1,1,1.0
9,3,98.63,0.0,220.57,60.53,1,1,1.0
9,4,309.8,0.95,395.52000000000004,113.45,1,1,1.0
10,1,0.0,43.3,15.1,39.60000000000001,1,1,1.0
10,3,98.54,0.0,220.47999999999996,60.47,1,1,1.0
10,4,309.53,0.95,395.64,113.45,1,1,1.0
10,5,916.4,196.6,43.440000000000055,69.89000000000001,1,1,1.0
11,3,98.44,0.0,220.39999999999998,60.41,1,1,1.0
11,4,309.27,0.95,395.74,113.45,1,1,1.0
11,5,871.5,183.66,88.20000000000005,84.09,1,1,1.0
12,3,98.34,0.0,220.33,60.35,1,1,1.0
12,4,309.0,0.95,395.86,113.45,1,1,1.0
12,5,824.2,173.2,135.79999999999995,89.40000000000003,1,1,1.0
13,3,98.25,0.0,220.24,60.29,1,1,1.0
13,4,308.73,0.95,395.97,113.45,1,1,1.0
13,5,780.9,163.93,178.80000000000007,95.87,1,1,1.0
